Gender,Age,StudyHoursPerWeek,Attendance_Rate,GPA,Major,PartTimeJob,Involved_In_Sports
Male,24,37,90.75,3.47,Arts,Yes,No
Female,22,37,74.9,2.32,Education,No,No
Male,22,10,53.36,2.38,Business,No,No
Male,24,10,70.26,3.46,Science,Yes,No
Male,18,19,74.87,2.31,Education,Yes,No
Female,20,17,86.01,2.47,Business,Yes,No
Male,19,21,55.33,3.93,Arts,No,No
Male,18,14,57,2.51,Education,No,No
Male,19,9,63.18,3.32,Business,No,No
Female,24,1,63.32,3.96,Engineering,Yes,Yes
Male,23,13,86.61,2.75,Engineering,Yes,No
Male,19,4,62.54,2.04,Science,No,Yes
Male,20,1,81.65,2.49,Business,No,No
Male,23,32,74.71,3.66,Engineering,Yes,No
Female,19,34,78.66,3.73,Arts,Yes,Yes
Male,24,28,91.91,3.54,Business,Yes,No
Female,23,31,70.22,2.23,Arts,Yes,Yes
Female,24,8,88.55,3.59,Arts,No,Yes
Female,19,39,71.1,3.84,Engineering,Yes,Yes
Male,24,26,67.69,3.2,Business,Yes,No
Female,20,34,97.93,3.88,Education,Yes,No
Male,19,3,59.22,3.65,Engineering,No,No
Female,19,12,54.52,3.33,Engineering,No,Yes
Female,19,1,88.55,3.15,Business,Yes,Yes
Female,18,5,53.41,2.7,Business,Yes,No
Female,18,30,91.85,2.32,Arts,Yes,No
Female,18,30,71.86,3.21,Business,No,No
Female,20,17,95.78,2.64,Arts,No,No
Female,23,23,86.08,3.73,Engineering,No,No
Female,24,15,80.52,3.99,Science,Yes,Yes
Male,22,37,97.47,3.5,Education,No,Yes
Male,19,21,69.83,2.18,Engineering,Yes,Yes
Female,24,14,97.7,2.58,Business,Yes,No
Female,19,2,56.75,2.22,Education,Yes,Yes
Female,20,11,74.19,3.3,Science,No,Yes
Male,19,39,63.5,3.53,Science,Yes,Yes
Female,18,38,76.99,3.85,Arts,No,Yes
Male,22,34,58.1,2.88,Education,No,Yes
Male,21,38,92.08,3.8,Arts,Yes,No
Male,19,34,92.32,3.76,Engineering,Yes,Yes
Male,24,18,97.76,2.63,Education,No,No
Male,18,30,57.73,3.74,Engineering,Yes,No
Female,21,15,81.17,2.75,Arts,No,No
Female,22,27,73.71,2.59,Education,Yes,No
Female,21,34,67.22,3.3,Arts,No,No
Female,18,38,67.58,2.66,Education,No,Yes
Female,23,33,70.64,3.26,Arts,No,Yes
Male,23,24,85.25,3.22,Science,No,No
Female,21,15,79.91,3.13,Arts,Yes,No
Female,20,30,72.98,2.76,Science,Yes,No
Male,24,17,53.8,3.1,Arts,No,Yes
Female,24,5,53.89,3.19,Education,No,No
Male,21,29,50.12,3.09,Education,Yes,Yes
Female,19,4,98.38,2.89,Education,Yes,No
Male,19,10,50.26,2.03,Business,Yes,Yes
Female,24,17,55.15,3.17,Engineering,Yes,No
Female,24,10,65.73,2.34,Education,Yes,Yes
Male,23,17,90.37,3.29,Science,Yes,No
Male,20,20,98.1,3.52,Education,No,Yes
Male,18,24,89.5,3,Business,Yes,Yes
Male,19,5,84.53,3.08,Science,Yes,Yes
Male,24,34,76.07,3.9,Business,No,Yes
Male,23,6,54.34,3.69,Science,Yes,Yes
Male,22,2,97.91,3.83,Arts,Yes,Yes
Male,23,13,87.92,3.63,Engineering,Yes,Yes
Female,19,11,81.95,2.22,Engineering,Yes,No
Female,19,23,87.95,2.3,Business,Yes,No
Male,23,16,86.21,3.05,Engineering,No,No
Female,18,31,81.86,2.49,Business,Yes,No
Female,21,11,99.03,2.95,Business,No,No
Female,19,16,95.17,2.79,Business,No,Yes
Female,23,8,82.33,3.1,Engineering,Yes,Yes
Male,24,4,84.66,3.49,Business,No,Yes
